Generation:  0	Fittest individual: /C#z_e;un9m%f&LgsJf_/E%
Generation: 10	Fittest individual: X@3@WtiHlk AjT;zvTinZxS
Generation: 20	Fittest individual: X@3@WtiHlk AjT;zvTinZxS
Generation: 30	Fittest individual: Xr3@WtiHlk AjT;gvTinZxS
Generation: 40	Fittest individual: Xr3@WtiHlk AjT;gvTinZxS
Generation: 50	Fittest individual: brP@WtiHlk AjT;gvTitZ@S
Generation: 60	Fittest individual: brP@(tiHlk AjT;gvTitZmS
Generation: 70	Fittest individual: bvo@=tiHuk AvT;goCitZ@S
Generation: 80	Fittest individual: bvo@=tiHuk AvE;gorith@S
Generation: 90	Fittest individual: bvop=tiHuk AvA;gorith@S
Generation: 99	Fittest individual: bvop=tiHuk AvAlgorith@S
Generation: 100	Fittest individual: bvop=tiHuk AvAlgorith@S
Generation: 110	Fittest individual: bvop=tiHuk AvAlgorithmS
Generation: 120	Fittest individual: bvop=tiHuk AvAlgorithmS
Generation: 130	Fittest individual: bvop=tiHuk AvAlgorithmS
Generation: 140	Fittest individual: bvop=tiHuk AvAlgorithmS
Generation: 150	Fittest individual: bvol=tiH0k AvAlgorithms
Generation: 160	Fittest individual: bvolutiH0k AvAlgorithms
Generation: 170	Fittest individual: bvolutiH0k AvAlgorithms
Generation: 180	Fittest individual: bvolutio0S7AvAlgorithms
Generation: 190	Fittest individual: Fvolutio0SrAvAlgorithms
Generation: 200	Fittest individual: Evolutio0SrAvAlgorithms
Generation: 210	Fittest individual: Evolutio0arAvAlgorithms
Generation: 220	Fittest individual: Evolutio0arA Algorithms
Generation: 230	Fittest individual: Evolutio0arA Algorithms
Generation: 240	Fittest individual: Evolutio0arA Algorithms
Generation: 250	Fittest individual: Evolutio0arA Algorithms
Generation: 260	Fittest individual: Evolutio0arA Algorithms
Generation: 270	Fittest individual: Evolutio0arA Algorithms
Generation: 280	Fittest individual: Evolutio0arA Algorithms
Generation: 290	Fittest individual: Evolutio0arA Algorithms
Generation: 300	Fittest individual: Evolutio0arA Algorithms
Generation: 310	Fittest individual: Evolutio0arA Algorithms
Generation: 320	Fittest individual: Evolutio0arA Algorithms
Generation: 330	Fittest individual: Evolutio0arA Algorithms
Generation: 340	Fittest individual: Evolutio0arA Algorithms
Generation: 350	Fittest individual: Evolutio0arA Algorithms
Generation: 360	Fittest individual: Evolutio0arA Algorithms
Generation: 370	Fittest individual: Evolutio0arA Algorithms
Generation: 380	Fittest individual: Evolutio0arA Algorithms
Generation: 390	Fittest individual: Evolutio0arA Algorithms
Generation: 400	Fittest individual: Evolutio0ary Algorithms
Generation: 410	Fittest individual: Evolutio0ary Algorithms
Generation: 420	Fittest individual: Evolutio0ary Algorithms
Generation: 430	Fittest individual: Evolutio0ary Algorithms
Generation: 440	Fittest individual: Evolutio0ary Algorithms
Generation: 450	Fittest individual: Evolutio0ary Algorithms
Generation: 460	Fittest individual: Evolutio0ary Algorithms
Generation: 470	Fittest individual: Evolutio0ary Algorithms
Generation: 480	Fittest individual: Evolutio0ary Algorithms
Generation: 490	Fittest individual: Evolutio0ary Algorithms
