Generation:  0	Fittest individual: 6Ao;)}&KHa4G62kN;;gIbic
Generation: 10	Fittest individual: 6Ao;)}&KHa4G62kN;;gtbic
Generation: 20	Fittest individual: 6Ao;)}&KHa4G62kN;;gtbic
Generation: 30	Fittest individual: 6vo;)}&KHa4G62kN;;gtbic
Generation: 40	Fittest individual: 6vo;)}&KHa4G62kN;;gthic
Generation: 50	Fittest individual: 6vo;)}&KHarG62lN;;ithic
Generation: 60	Fittest individual: 6vo;)}&KHarG62lg;;ithic
Generation: 70	Fittest individual: 6vo;)}&KHarG62lg;;ithic
Generation: 80	Fittest individual: 6vo;)}&KHary62lg;;ithic
Generation: 90	Fittest individual: 6vol)}&KHary62lg;;ithic
Generation: 100	Fittest individual: 6vol)}&KHary /lg;rithic
Generation: 110	Fittest individual: 6vol)}&KHary /lg;rithic
Generation: 120	Fittest individual: 6vol)t&KHary /lgorithic
Generation: 130	Fittest individual: Evol)tiKHary /lgorithic
Generation: 140	Fittest individual: Evol)tiKHary /lgorithic
Generation: 150	Fittest individual: Evol)tiKHary /lgorithic
Generation: 160	Fittest individual: Evol)tiKHary /lgorithic
Generation: 170	Fittest individual: Evol)tiKHary Algorithic
Generation: 180	Fittest individual: Evol)tioHary Algorithic
Generation: 190	Fittest individual: Evol)tioHary Algorithic
Generation: 200	Fittest individual: Evol)tionary Algorithic
Generation: 210	Fittest individual: Evol)tionary Algorithic
Generation: 220	Fittest individual: Evol)tionary Algorithic
Generation: 230	Fittest individual: Evol)tionary Algorithic
Generation: 240	Fittest individual: Evol)tionary Algorithic
Generation: 250	Fittest individual: Evol0tionary Algorithmc
Generation: 260	Fittest individual: Evol0tionary Algorithmc
Generation: 270	Fittest individual: Evol0tionary Algorithmc
Generation: 280	Fittest individual: Evol0tionary Algorithmc
